epoch,train_loss,learning_rate,eval_loss,eval_rmse,eval_mae,eval_acc,eval_pearson
1,0.0419272854359764,1e-05,0.03450038754626324,0.1857428,0.15724199,0.2736842105263158,0.25642306
2,0.04047503570715586,2e-05,0.03054586650901719,0.17477377,0.14196381,0.4105263157894737,0.30340123
3,0.03732985485288681,2e-05,0.030474807086743806,0.17457035,0.14340527,0.3368421052631579,0.34442526
4,0.031690507449887016,1.9978803340062177e-05,0.028887232765555382,0.16996245,0.13743024,0.42105263157894735,0.49377537
5,0.03215822950711079,1.9915304127600726e-05,0.026158656336759265,0.16173638,0.13086884,0.43157894736842106,0.4682501
6,0.028161103061089914,1.9809774275991984e-05,0.028804282706819083,0.16971824,0.14262263,0.3368421052631579,0.57048523
7,0.02515471589074216,1.966266568026178e-05,0.030380428719677423,0.17429982,0.1439573,0.3263157894736842,0.5975931
8,0.022416912068641097,1.9474608282001554e-05,0.02112297311817345,0.14533745,0.11845247,0.47368421052631576,0.7065541
9,0.022343409381750407,1.9246407371861743e-05,0.022422746117962033,0.14974226,0.12347579,0.45263157894736844,0.71862537
10,0.016206203099114424,1.8979040141173618e-05,0.018834972018866164,0.13724057,0.11144945,0.5684210526315789,0.74993724
11,0.013018486098823787,1.867365149746595e-05,0.013758229998577582,0.11729548,0.09419651,0.6526315789473685,0.775726
12,0.01045245441579909,1.8331549161795205e-05,0.018649315314465446,0.1365625,0.11007418,0.5157894736842106,0.7421605
13,0.011379174664122702,1.7954198068883233e-05,0.013226830247348468,0.11500796,0.09244245,0.6,0.7620119
14,0.008114233385475183,1.754321409404188e-05,0.014629188165264694,0.120951176,0.09671407,0.5789473684210527,0.74427384
15,0.007835332986856387,1.7100357133746823e-05,0.013075774192417922,0.11434935,0.09269169,0.6105263157894737,0.773065
16,0.007578852677287421,1.6627523569490685e-05,0.01329421864724473,0.11530055,0.09307948,0.5473684210526316,0.7893429
17,0.005873740841211243,1.6126738147186337e-05,0.012514915770704025,0.11187008,0.088234045,0.6210526315789474,0.78574634
18,0.004760471857011769,1.5600145306894067e-05,0.013338601645572405,0.115492865,0.09390233,0.5894736842105263,0.77571326
19,0.005402595652082131,1.505e-05,0.01458120674483086,0.12075266,0.099966116,0.5263157894736842,0.78003615
20,0.00480604616688762,1.4478658033168112e-05,0.011883934665667383,0.10901346,0.08582321,0.6947368421052632,0.7842763
21,0.0035748266699639234,1.3888565980414389e-05,0.01416541388454406,0.11901855,0.09723096,0.5684210526315789,0.777963
22,0.004633696345880515,1.3282250706501299e-05,0.011918268521855535,0.109170824,0.08840274,0.5894736842105263,0.8339509
23,0.0041054364723315685,1.2662308546514954e-05,0.013746865632894793,0.11724702,0.09631687,0.5789473684210527,0.7908953
24,0.004247384049284103,1.203139418795967e-05,0.014236814195388242,0.11931812,0.10019411,0.5368421052631579,0.802787
25,0.0039948616384098195,1.1392209302978512e-05,0.011570681275579295,0.1075671,0.08499815,0.6421052631578947,0.79006636
26,0.0040791133153217024,1.074749097937842e-05,0.013081301861491642,0.11437351,0.09390515,0.6,0.78971165
27,0.0030751107913216183,1.01e-05,0.013234101235866547,0.11503956,0.09549639,0.5789473684210527,0.8043418
28,0.0025446457315631437,9.452509020621582e-06,0.012741986012674476,0.112880416,0.093720265,0.5684210526315789,0.8051306
29,0.002901653003804809,8.807790697021488e-06,0.011458813764252946,0.107045844,0.08708713,0.6421052631578947,0.81761867
30,0.0029606476146551413,8.16860581204033e-06,0.011995472387704802,0.10952384,0.08840358,0.6210526315789474,0.80753183
31,0.0027021653227028296,7.537691453485044e-06,0.011550257098861039,0.10747212,0.085601896,0.631578947368421,0.80517465
32,0.0026143657856719624,6.917749293498699e-06,0.011107301437541059,0.105391175,0.08532347,0.6421052631578947,0.82833445
33,0.0023165351985054176,6.311434019585612e-06,0.010727577426127698,0.10357402,0.08381547,0.6736842105263158,0.8293606
34,0.0024537408656518287,5.721341966831888e-06,0.011504921510717586,0.107260995,0.087195694,0.6105263157894737,0.82980144
35,0.0022878798446265246,5.150000000000001e-06,0.012029791863537148,0.10968041,0.09147392,0.5578947368421052,0.8377935
36,0.002455908306618574,4.5998546931059355e-06,0.01143645931427416,0.10694139,0.086390816,0.631578947368421,0.83264554
37,0.002870666790951156,4.073261852813664e-06,0.0117201832686796,0.10825979,0.08798646,0.6105263157894737,0.83124846
38,0.0017804058456518264,3.572476430509317e-06,0.011456229981329096,0.107033774,0.08563719,0.6526315789473685,0.82022744
39,0.0026830010604250924,3.0996428662531788e-06,0.011472338332647556,0.107109,0.085991055,0.6421052631578947,0.8186266
40,0.0021736740549606498,2.6567859059581236e-06,0.011556606788776423,0.107501656,0.086307034,0.6210526315789474,0.8197082
41,0.0019975424652467623,2.2458019311167716e-06,0.011699960579311377,0.10816636,0.08782195,0.5894736842105263,0.82052404
42,0.0023373352001230655,1.868450838204803e-06,0.01165350154042244,0.10795137,0.08827586,0.6,0.8256645
